# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.initBridges.ms,1777172155580000000,1777172176560000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777172155580000000,1777172176560000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777172155580000000,1777172176560000000,0
compiler.ArtifactManagerBridge.commit.ms,1777172155580000000,1777172176560000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777172155580000000,1777172176560000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1777172155580000000,1777172176560000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777172155580000000,1777172176560000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777172155580000000,1777172176560000000,0
jps.module.iml.entities.serializer.load.entities.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777172155580000000,1777172176560000000,0
jps.global.get.library.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1777172155580000000,1777172176560000000,0
jps.facet.change.listener.init.bridge.ms,1777172155580000000,1777172176560000000,0
workspaceModel.global.updates.count,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777172155580000000,1777172176560000000,0
jps.app.storage.content.writer.save.component.ms,1777172155580000000,1777172176560000000,0
workspaceModel.global.updates.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1777172155580000000,1777172176560000000,0
jps.apply.loaded.storage.ms,1777172155580000000,1777172176560000000,0
jps.module.iml.entities.serializer.save.entities.ms,1777172155580000000,1777172176560000000,0
jps.project.serializers.save.ms,1777172155580000000,1777172176560000000,0
workspaceModel.global.apply.state.to.project.ms,1777172155580000000,1777172176560000000,0
jps.facet.change.listener.before.change.events.ms,1777172155580000000,1777172176560000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1777172155580000000,1777172176560000000,0
workspaceModel.do.save.caches.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777172155580000000,1777172176560000000,0
jps.reload.project.entities.ms,1777172155580000000,1777172176560000000,0
jps.facet.change.listener.process.change.events.ms,1777172155580000000,1777172176560000000,0
jps.load.initial.state.ms,1777172155580000000,1777172176560000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1777172155580000000,1777172176560000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1777172155580000000,1777172176560000000,0
workspaceModel.sync.entities.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777172155580000000,1777172176560000000,0
jps.global.initialize.library.bridges.ms,1777172155580000000,1777172176560000000,0
workspaceModel.orphan.listener.update.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.entities.ms,1777172155580000000,1777172176560000000,0
workspaceModel.save.cache.to.file.ms,1777172155580000000,1777172176560000000,0
jps.library.entities.serializer.save.entities.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777172155580000000,1777172176560000000,0
jps.artifact.entities.serializer.load.entities.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777172155580000000,1777172176560000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777172155580000000,1777172176560000000,0
jps.save.changed.project.entities.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777172155580000000,1777172176560000000,0
jps.save.global.entities.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777172155580000000,1777172176560000000,0
jps.global.initialize.library.bridges.after.loading.ms,1777172155580000000,1777172176560000000,0
jps.global.get.libraries.ms,1777172155580000000,1777172176560000000,0
jps.global.handle.changed.events.ms,1777172155580000000,1777172176560000000,0
jps.global.handle.before.change.events.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleBridge.update.option.ms,1777172155580000000,1777172176560000000,0
jps.project.serializers.load.ms,1777172155580000000,1777172176560000000,0
workspaceModel.load.cache.from.file.ms,1777172155580000000,1777172176560000000,0
jps.storage.jps.conf.reader.load.component.ms,1777172155580000000,1777172176560000000,0
jps.app.storage.content.reader.load.component.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1777172155580000000,1777172176560000000,0
jps.global.get.library.by.name.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleBridge.before.changed.ms,1777172155580000000,1777172176560000000,0
jps.artifact.entities.serializer.save.entities.ms,1777172155580000000,1777172176560000000,0
jps.load.project.to.empty.storage.ms,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.instances.count,1777172155580000000,1777172176560000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777172155580000000,1777172176560000000,0
jps.library.entities.serializer.load.entities.ms,1777172155580000000,1777172176560000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1777172155580000000,1777172176560000000,0
VFS.fileByIdCache.misses,1777172155580000000,1777172176560000000,0
VFS.rootsCount,1777172155580000000,1777172176560000000,0.0
VFS.fileChildByName,1777172155580000000,1777172176560000000,0
VFS.invertedFileNameIndex.requests,1777172155580000000,1777172176560000000,0
VFS.folderCaseSensitivityReads,1777172155580000000,1777172176560000000,0
VFS.fileByIdCache.hits,1777172155580000000,1777172176560000000,0
cacheStateStorage.set.duration,1777172155580000000,1777172176560000000,0
cacheStateStorage.set.counter,1777172155580000000,1777172176560000000,0
cacheStateStorage.get.counter,1777172155580000000,1777172176560000000,0
cacheStateStorage.get.duration,1777172155580000000,1777172176560000000,0
DirectByteBufferAllocator.reclaimed,1777172155580000000,1777172176560000000,43
FilePageCache.totalPageDisposalsUs,1777172155580000000,1777172176560000000,0
FilePageCache.totalPageLoadsUs,1777172155580000000,1777172176560000000,0
FilePageCache.maxCacheSizeInBytes,1777172155580000000,1777172176560000000,467681280
FilePageCache.uncachedFileAccess,1777172155580000000,1777172176560000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777172155580000000,1777172176560000000,83927040
MappedFileStorage.totalPagesMapped,1777172155580000000,1777172176560000000,0
MappedFileStorage.totalBytesMapped,1777172155580000000,1777172176560000000,0
StorageLockContext.competingThreads.90P,1777172155580000000,1777172176560000000,0
DirectByteBufferAllocator.hits,1777172155580000000,1777172176560000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1777172155580000000,1777172176560000000,56948
DirectByteBufferAllocator.disposed,1777172155580000000,1777172176560000000,72
DirectByteBufferAllocator.misses,1777172155580000000,1777172176560000000,0
FilePageCache.pageFastCacheHits,1777172155580000000,1777172176560000000,0
FilePageCache.pageHits,1777172155580000000,1777172176560000000,0
StorageLockContext.competingThreads.max,1777172155580000000,1777172176560000000,0
StorageLockContext.competingThreads.avg,1777172155580000000,1777172176560000000,0.0
FilePageCache.pageLoads,1777172155580000000,1777172176560000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1777172155580000000,1777172176560000000,0
FilePageCache.maxRegisteredFiles,1777172155580000000,1777172176560000000,1085
MappedFileStorage.storages,1777172155580000000,1777172176560000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1777172155580000000,1777172176560000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777172155580000000,1777172176560000000,41967616
FilePageCache.capacityInBytes,1777172155580000000,1777172176560000000,629145600
FilePageCache.disposedBuffers,1777172155580000000,1777172176560000000,115
